store_id,city,region,annual_revenue,operating_cost,profit,profit_margin_pct,annual_footfall,annual_rent,competitor_count
S073,Jaipur,North,1743997.24,1283987.49,460009.75,26.38,12210,283901.73,21
S074,Bhubaneswar,East,1302329.71,914562.37,387767.34,29.77,8585,208869.1,29
S075,Bhopal,Central,2008956.84,1403453.01,605503.83,30.14,12783,296420.59,15
S076,Delhi,North,6269932.04,3933531.99,2336400.06,37.26,41996,703229.34,86
S077,Kolkata,East,3012854.49,2220563.86,792290.63,26.3,20259,443831.41,47
S078,Jaipur,North,2638557.32,1763128.77,875428.55,33.18,16999,264858.08,24
S079,Delhi,North,6674492.81,5148702.6,1525790.22,22.86,44264,644404.47,62
S080,Indore,Central,1498135.45,1177945.4,320190.05,21.37,10830,266777.67,19
S081,Ahmedabad,West,2190754.64,1542526.02,648228.62,29.59,16890,318243.96,54
S082,Surat,West,2641203.6,2114627.4,526576.2,19.94,17790,395202.0,35
S083,Kochi,South,1435577.16,916185.94,519391.21,36.18,11417,183148.94,3
S084,Coimbatore,South,2303302.39,1847465.62,455836.77,19.79,15553,363471.5,4
S085,Ahmedabad,West,2428929.94,1915012.77,513917.17,21.16,17470,391775.13,32
S086,Bengaluru,South,6391563.27,4230103.76,2161459.51,33.82,40973,757607.25,84
S087,Bengaluru,South,8785263.19,6150212.21,2635050.98,29.99,57576,1210013.86,81
S088,Delhi,North,4709627.34,3307723.13,1401904.21,29.77,31436,750992.53,98
S089,Chennai,South,2203607.96,1728417.81,475190.15,21.56,15144,273019.3,53
S090,Lucknow,North,1673637.62,1221325.44,452312.18,27.03,9226,266693.39,33
S091,Kolkata,East,2480629.28,1697535.68,783093.6,31.57,15800,220937.6,68
S092,Jaipur,North,1708026.35,1233761.07,474265.28,27.77,11045,148403.51,22
S093,Kolkata,East,2895892.64,2106235.22,789657.42,27.27,19338,466835.65,58
S094,Jaipur,North,1450726.48,1053594.68,397131.8,27.37,9443,143553.64,32
S095,Ahmedabad,West,2869161.4,2263447.38,605714.01,21.11,18421,458252.54,35
